dwm: kp profile
mlat=-50.0, mlt=3.0
    kp     mag mer   mag zon
   0.0      -8.066     5.787
   0.5      -6.955     5.282
   1.0      -3.365     3.849
   1.5       3.202     1.647
   2.0      13.413    -1.112
   2.5      26.175    -3.461
   3.0      39.805    -4.712
   3.5      54.121    -5.081
   4.0      68.787    -4.864
   4.5      83.302    -4.428
   5.0      97.009    -4.194
   5.5     109.699    -4.429
   6.0     121.506    -5.004
   6.5     132.195    -5.750
   7.0     141.548    -6.483
   7.5     149.386    -7.019
   8.0     155.577    -7.193
   8.5     155.577    -7.193
   9.0     155.577    -7.193
