dwm: magnetic latitude profile
mlt= 3.0, kp=6.0
  mlat     mag mer   mag zon
 -90.0     157.613  -158.954
 -80.0     158.138  -141.865
 -70.0      56.293   -41.271
 -60.0      60.878    69.305
 -50.0     121.506    -5.004
 -40.0      40.882   -15.775
 -30.0      21.850   -25.517
 -20.0      11.640   -34.856
 -10.0       5.533   -40.228
   0.0       5.327   -45.354
  10.0       8.204   -50.906
  20.0       9.422   -55.711
  30.0       3.494   -56.017
  40.0      -7.319   -49.619
  50.0      -7.873    18.973
  60.0     -33.112    80.795
  70.0     -20.227    -8.189
  80.0     -55.275   -64.783
  90.0    -137.149  -170.526
