dwm: magnetic local time profile
mlt= 0.0, kp=6.0
  mlat     mag mer   mag zon
   0.0     -22.332  -129.270
   1.5     -28.861   -78.026
   3.0      -6.246   -33.077
   4.5      -5.592   -33.656
   6.0     -32.813   -39.796
   7.5     -49.672   -34.709
   9.0     -48.676   -26.754
  10.5     -41.507   -20.200
  12.0     -35.088   -15.157
  13.5     -28.140   -12.072
  15.0     -18.344   -13.870
  16.5      -9.103   -27.605
  18.0     -12.015   -57.829
  19.5     -27.512   -86.677
  21.0     -24.814  -103.292
  22.5     -11.058  -127.315
  24.0     -22.332  -129.270
