magnetic activity profile
day=280, ut=21.0, alt=350.0, glat= 38.0, glon= 125.0, stl= 5.3
                       quiet             disturbed                 total
    ap         mer       zon         mer       zon         mer       zon
   0.0      20.082   -66.483      -1.453    -5.318      18.630   -71.801
  20.0      20.082   -66.483      -9.057    -2.548      11.026   -69.031
  40.0      20.082   -66.483     -20.477   -17.007      -0.395   -83.490
  60.0      20.082   -66.483     -29.204   -30.416      -9.121   -96.899
  80.0      20.082   -66.483     -34.047   -38.327     -13.965  -104.811
 100.0      20.082   -66.483     -36.950   -43.408     -16.868  -109.891
 120.0      20.082   -66.483     -38.558   -46.501     -18.476  -112.984
 140.0      20.082   -66.483     -39.463   -48.508     -19.380  -114.991
 160.0      20.082   -66.483     -39.902   -49.810     -19.820  -116.293
 180.0      20.082   -66.483     -39.969   -50.507     -19.887  -116.990
 200.0      20.082   -66.483     -39.767   -50.737     -19.685  -117.220
 220.0      20.082   -66.483     -39.640   -50.729     -19.558  -117.212
 240.0      20.082   -66.483     -39.640   -50.729     -19.558  -117.212
 260.0      20.082   -66.483     -39.640   -50.729     -19.558  -117.212
