day of year profile
ut=21.0, alt=200.0, glat= -65.0, glon=-135.0, stl=12.0, ap= 15.0
                       quiet             disturbed                 total
   day         mer       zon         mer       zon         mer       zon
     0      -3.256   -51.416       4.826     9.273       1.570   -42.143
    20     -10.257   -46.217       4.827     9.270      -5.430   -36.947
    40     -18.736   -39.190       4.828     9.264     -13.908   -29.927
    60     -27.317   -32.339       4.828     9.262     -22.489   -23.077
    80     -35.666   -26.986       4.823     9.288     -30.844   -17.698
   100     -44.220   -23.381       4.805     9.366     -39.415   -14.016
   120     -53.496   -20.845       4.778     9.495     -48.717   -11.350
   140     -63.335   -18.348       4.753     9.628     -58.582    -8.720
   160     -72.501   -15.238       4.740     9.708     -67.762    -5.530
   180     -78.864   -11.743       4.740     9.704     -74.124    -2.039
   200     -80.126    -9.010       4.755     9.618     -75.371     0.608
   220     -74.801    -8.633       4.781     9.482     -70.021     0.850
   240     -62.997   -11.886       4.807     9.356     -58.190    -2.529
   260     -46.636   -19.017       4.824     9.284     -41.813    -9.733
   280     -28.987   -28.928       4.829     9.262     -24.159   -19.666
   300     -13.666   -39.428       4.828     9.264      -8.838   -30.164
   320      -3.508   -47.955       4.827     9.270       1.319   -38.685
   340       0.238   -52.481       4.826     9.273       5.064   -43.208
   360      -1.918   -52.224       4.826     9.273       2.908   -42.951
