height profile
day=150, ut=12.0, glat=-45.0, glon= -85.0, stl= 6.3, ap= 80.0
                       quiet             disturbed                 total
   alt         mer       zon         mer       zon         mer       zon
     0       0.031     6.271       0.000    -0.000       0.031     6.271
    25       2.965    25.115       0.000    -0.000       2.965    25.115
    50      -6.627    96.343       0.000    -0.000      -6.627    96.343
    75       2.238    44.845       0.000    -0.000       2.238    44.845
   100     -14.339    31.627       0.086    -0.037     -14.253    31.590
   125      15.125    21.110      22.279    -9.483      37.404    11.628
   150      -1.683   -14.391      44.472   -18.929      42.789   -33.319
   175     -24.280   -31.019      44.558   -18.965      20.278   -49.984
   200     -19.531   -49.623      44.558   -18.965      25.027   -68.588
   225     -10.261   -61.057      44.558   -18.965      34.297   -80.022
   250      -4.150   -68.595      44.558   -18.965      40.408   -87.560
   275      -0.122   -73.564      44.558   -18.965      44.436   -92.530
   300       2.534   -76.840      44.558   -18.965      47.092   -95.806
   325       4.285   -79.000      44.558   -18.965      48.843   -97.965
   350       5.439   -80.424      44.558   -18.965      49.997   -99.389
   375       6.200   -81.362      44.558   -18.965      50.758  -100.327
   400       6.702   -81.981      44.558   -18.965      51.259  -100.946
