latitude profile
day=305, ut=18.0, alt=250.0, glon=  30.0, stl=20.0, ap= 48.0
                       quiet             disturbed                 total
  glat         mer       zon         mer       zon         mer       zon
   -90     -37.423   130.673     -86.773    46.502    -124.197   177.174
   -80     -16.364    76.079    -133.904   -12.216    -150.268    63.864
   -70      12.734    40.446    -137.274  -112.417    -124.540   -71.971
   -60      35.676    53.028     -58.808  -158.941     -23.132  -105.913
   -50      47.513    83.641     -16.136  -111.817      31.377   -28.176
   -40      50.456    87.682     -10.932   -51.150      39.524    36.532
   -30      48.334    69.088       7.971   -36.298      56.305    32.790
   -20      45.757    68.768      15.092   -34.427      60.849    34.341
   -10      46.997    99.279      11.120   -26.603      58.117    72.676
     0      50.930   126.837       5.821   -16.657      56.751   110.180
    10      50.389   124.748       0.659   -13.275      51.048   111.472
    20      40.982   110.968      -5.329   -20.421      35.653    90.547
    30      27.572   112.203     -12.740   -34.467      14.832    77.736
    40      16.513   116.979     -15.446   -41.985       1.068    74.993
    50       3.940    96.754      -6.688   -54.782      -2.749    41.972
    60     -20.111    61.456      -7.001  -202.013     -27.112  -140.557
    70     -54.689    56.348     -36.510   -52.515     -91.199     3.833
    80     -83.216    97.972    -103.542    81.980    -186.757   179.951
    90     -90.879   144.768     -75.838    90.679    -166.717   235.447
