longitude profile
day=330, ut= 6.0, alt= 40.0, glat=  -5.0, glon= 0.0, ap=  4.0
                       quiet             disturbed                 total
  glon         mer       zon         mer       zon         mer       zon
  -180      -0.757   -16.835       0.000    -0.000      -0.757   -16.835
  -160      -0.592   -18.073       0.000    -0.000      -0.592   -18.073
  -140       0.033   -20.107       0.000    -0.000       0.033   -20.107
  -120       0.885   -22.166       0.000    -0.000       0.885   -22.166
  -100       1.507   -22.900      -0.000    -0.000       1.507   -22.900
   -80       1.545   -21.649      -0.000     0.000       1.545   -21.649
   -60       1.041   -19.089       0.000     0.000       1.041   -19.089
   -40       0.421   -16.596       0.000     0.000       0.421   -16.596
   -20       0.172   -14.992       0.000     0.000       0.172   -14.992
     0       0.463   -13.909       0.000     0.000       0.463   -13.909
    20       1.049   -12.395      -0.000    -0.000       1.049   -12.395
    40       1.502   -10.129      -0.000     0.000       1.502   -10.129
    60       1.552    -7.991      -0.000     0.000       1.552    -7.991
    80       1.232    -7.369       0.000     0.000       1.232    -7.369
   100       0.757    -8.869       0.000    -0.000       0.757    -8.869
   120       0.288   -11.701       0.000    -0.000       0.288   -11.701
   140      -0.146   -14.359       0.000    -0.000      -0.146   -14.359
   160      -0.538   -15.945       0.000    -0.000      -0.538   -15.945
   180      -0.757   -16.835       0.000    -0.000      -0.757   -16.835
