local time profile
day= 75, alt=125.0, glat= 45.0, glon= -70.0, stl= 0.0, ap= 30.0
                       quiet             disturbed                 total
   stl         mer       zon         mer       zon         mer       zon
   0.0      15.039   -20.115      -8.475   -20.072       6.564   -40.187
   1.5      35.812   -57.326      -7.022     2.427      28.790   -54.899
   3.0      27.917   -77.389      -5.600    20.202      22.316   -57.187
   4.5       3.087   -69.451      -8.034    21.516      -4.946   -47.936
   6.0      -9.467   -50.533     -13.708     9.066     -23.175   -41.468
   7.5       5.518   -42.214     -16.795    -1.433     -11.278   -43.648
   9.0      33.677   -44.876     -16.107    -4.816      17.570   -49.691
  10.5      48.133   -40.806     -13.941    -4.061      34.192   -44.868
  12.0      38.355   -20.578     -11.480    -1.964      26.875   -22.542
  13.5      17.633     1.913      -8.243     0.139       9.390     2.052
  15.0       3.349     5.533      -4.710    -0.930      -1.362     4.603
  16.5      -3.237   -10.940      -3.931   -13.190      -7.168   -24.130
  18.0     -12.932   -25.485      -8.103   -40.895     -21.035   -66.380
  19.5     -27.966   -19.085     -13.157   -64.857     -41.123   -83.942
  21.0     -33.947     0.020     -12.756   -60.282     -46.702   -60.262
  22.5     -16.987     4.486     -10.061   -41.102     -27.048   -36.616
  24.0      15.039   -20.115      -8.473   -20.030       6.566   -40.145
